file_name,file_type,key,value,x,y
s.pdf,PDF,사업명,고속국도 제30호선 대산~당진 고속도로 건설공사,40,130
s.pdf,PDF,시설_공구,제2공구 : 운산~사성,41,139
s.pdf,PDF,건설분야,토목,199,1069
s.pdf,PDF,건설단계,실시설계,263,1069
s.pdf,PDF,계정차수,1,309,1066
s.pdf,PDF,계정일자,2023. 03,332,1066
s.pdf,PDF,개정내용,설계준공,368,1066
s.pdf,PDF,과업책임자,민형진,550,1066
s.pdf,PDF,분야별책임자,강완식,509,1066
s.pdf,PDF,설계자,이상규,469,1066
s.pdf,PDF,위치정보,서산시 대산읍 운산리,509,264
s.pdf,PDF,축척,H=1:1000 V=1:200,633,1060
s.pdf,PDF,도면번호,C0020101-001,641,1069
s.pdf,PDF,도면명,평면 및 종단면도(1) (STA. 7+460.00~8+060.00),753,1052
s.pdf,PDF,편철번호,8.001,773,1069
s.pdf,PDF,적용표준,v5.0(2011),825,1018
s.pdf,PDF,Note,토질주상도 범례,113,824
s.pdf,PDF,Title,평면 및 종단면도(1),361,128
s.pdf,PDF,기타정보,"설 계 사: (주)KG엔지니어링종합건축사사무소, (주)대한콘설탄트, (주)홍익기술단; 노선이정: 7460.00-12780.00; 설계공구: 제2공구 7460.00-12780.00; 시공공구: 제2공구 7460.00-12780.00; 이음선 STA. 8+060.00; 제1공구 과업종점; 제2공구 과업시점 STA.7+460.00",764,303
