file_name,file_type,key,value,x,y
s.pdf,PDF,사업명,고속국도 제30호선 대산~당진 고속도로 건설공사,40.0,130.0
s.pdf,PDF,시설_공구,제2공구 : 운산~사성,41.0,139.0
s.pdf,PDF,노선이정,7460.00-12780.00,212.0,1042.0
s.pdf,PDF,설계사,"(주)KG엔지니어링종합건축사사무소, (주)대한콘설탄트, (주)홍익기술단",187.0,1051.0
s.pdf,PDF,시공사,"대우건설(주), (주)효성중공업",187.0,1060.0
s.pdf,PDF,건설분야,토목,199.0,1069.0
s.pdf,PDF,건설단계,실시설계,263.0,1069.0
s.pdf,PDF,계정번호,1,309.0,1066.0
s.pdf,PDF,계정날짜,2023. 03,332.0,1066.0
s.pdf,PDF,개정내용,설계준공,368.0,1066.0
s.pdf,PDF,작성자,이상규,469.0,1066.0
s.pdf,PDF,검토자,강완식,509.0,1066.0
s.pdf,PDF,확인자,민형진,550.0,1066.0
s.pdf,PDF,설계공구_Station,제2공구 7460.00-12780.00,620.0,1042.0
s.pdf,PDF,시공공구_Station,제2공구 7460.00-12780.00,620.0,1051.0
s.pdf,PDF,도면번호,C0020101-001,641.0,1069.0
s.pdf,PDF,도면축척,H=1:1000 V=1:200,633.0,1060.0
s.pdf,PDF,도면명,평면 및 종단면도(1) (STA. 7+460.00~8+060.00),753.0,1052.0
s.pdf,PDF,편철번호,8.001,773.0,1069.0
s.pdf,PDF,적용표준버전,v5.0(2011),825.0,1018.0
s.pdf,PDF,Note,본선,775.0,1046.0
s.pdf,PDF,Title,평면 및 종단면도(1),361.0,128.0
s.pdf,PDF,기타정보,"축척 H=1:1,000 V=1:200",779.0,127.0
