file_name,file_type,key,value,x,y
s.pdf,PDF,사업명_value,고속국도 제30호선 대산~당진 고속도로 건설공사,,
s.pdf,PDF,사업명_x,40,,
s.pdf,PDF,사업명_y,130,,
s.pdf,PDF,시설_공구_value,제2공구 : 운산~사성,,
s.pdf,PDF,시설_공구_x,41,,
s.pdf,PDF,시설_공구_y,139,,
s.pdf,PDF,건설분야_value,토목,,
s.pdf,PDF,건설분야_x,199,,
s.pdf,PDF,건설분야_y,1069,,
s.pdf,PDF,건설단계_value,실시설계,,
s.pdf,PDF,건설단계_x,263,,
s.pdf,PDF,건설단계_y,1069,,
s.pdf,PDF,계정차수_value,1,,
s.pdf,PDF,계정차수_x,309,,
s.pdf,PDF,계정차수_y,1066,,
s.pdf,PDF,계정일자_value,2023. 03,,
s.pdf,PDF,계정일자_x,332,,
s.pdf,PDF,계정일자_y,1066,,
s.pdf,PDF,개정내용_value,설계준공,,
s.pdf,PDF,개정내용_x,368,,
s.pdf,PDF,개정내용_y,1066,,
s.pdf,PDF,과업책임자_value,민형진,,
s.pdf,PDF,과업책임자_x,550,,
s.pdf,PDF,과업책임자_y,1066,,
s.pdf,PDF,분야별책임자_value,강완식,,
s.pdf,PDF,분야별책임자_x,509,,
s.pdf,PDF,분야별책임자_y,1066,,
s.pdf,PDF,설계자_value,이상규,,
s.pdf,PDF,설계자_x,469,,
s.pdf,PDF,설계자_y,1066,,
s.pdf,PDF,위치정보_value,서       산       시,,
s.pdf,PDF,위치정보_x,509,,
s.pdf,PDF,위치정보_y,264,,
s.pdf,PDF,축척_value,"H=1:1,000 V=1:200",1,000
s.pdf,PDF,축척_x,792,,
s.pdf,PDF,축척_y,122,,
s.pdf,PDF,도면번호_value,C0020101-001,,
s.pdf,PDF,도면번호_x,641,,
s.pdf,PDF,도면번호_y,1069,,
s.pdf,PDF,도면명_value,평면 및 종단면도(1) (STA. 7+460.00~8+060.00),,
s.pdf,PDF,도면명_x,753,,
s.pdf,PDF,도면명_y,1052,,
s.pdf,PDF,편철번호_value,8.001,,
s.pdf,PDF,편철번호_x,773,,
s.pdf,PDF,편철번호_y,1069,,
s.pdf,PDF,적용표준_value,v5.0(2011),,
s.pdf,PDF,적용표준_x,825,,
s.pdf,PDF,적용표준_y,1018,,
s.pdf,PDF,Note_value,제1공구 과업종점,,
s.pdf,PDF,Note_x,116,,
s.pdf,PDF,Note_y,603,,
s.pdf,PDF,Title_value,평면 및 종단면도(1),,
s.pdf,PDF,Title_x,361,,
s.pdf,PDF,Title_y,128,,
s.pdf,PDF,기타정보_value,"(주)KG엔지니어링종합건축사사무소, (주)대한콘설탄트, (주)홍익기술단",,
s.pdf,PDF,기타정보_x,187,,
s.pdf,PDF,기타정보_y,1051,,
